category,old_name,new_name,status,used_for,notes
weapon manufacturers,Colt,Hart,done,"M4/CAR-15/XM177 platform, SMG mags",Renamed ~Jul 2025 via short-lived interim 'Camarillo'. M4A1 weapon itself absorbed into KF416D.
weapon manufacturers,Kalashnikov Concern (Izhmash),Kazarov / Kazarov Group,done,AK-74/AKM/AK-12/AK-308/RPK-16 and all AK furniture/mags,"Izhmash -> Kazarov, Kalashnikov Concern -> Kazarov Group. 'Izhevsk' (PM pistol parts) kept as-is (factory/city name)."
weapon manufacturers,Heckler & Koch,KF416,done,HK416/M27 platform,"Internal ids kf_416, kf_m27_iar. One of several per-platform HK replacements. Colt M4A1 also became KF416D."
weapon manufacturers,Heckler & Koch,KG-31 / SKG-31,done,G3/PSG-1 platform,"G3 -> KG-31 (G3A3 -> KG-31a3), PSG-1 -> SKG-31."
weapon manufacturers,Heckler & Koch,MPi-54,done,MP5 platform,A few 'MP5/HK94' aftermarket display names remain.
weapon manufacturers,Heckler & Koch,UMK,done,UMP platform,Renamed Jul 2026 via interim 'UMC' (UMP9 -> UMC-9 -> UMK-9).
weapon manufacturers,FN Herstal,AF Tournai / AFT,partial,"SCAR/FAL platforms, mags, ammo","Company -> AF Tournai (Tournai echoes Herstal, Belgium); SCAR weapons -> AFT MK-16/MK-17/Mk20; aftermarket 'SCAR' -> 'FANG'; FN FAL -> RSA SA-58 (moved under DSA's fictional brand)."
weapon manufacturers,Sig Sauer,Sic Stürmer,done,"P320, Romeo optics, Foxtrot lights",Internal ids keep sig_sauer_ prefix.
weapon manufacturers,Steyr Arms,Löwenherz,done,AUG A1/A3 platform,Internal ids keep steyr_aug_ prefix.
weapon manufacturers,Remington,Roosevelt,partial,"Model 700/870 platform, ammo",Internal ids r700_/r870_. Product: Remington 700 -> Rem700 interim -> Roosevelt 700. Caliber .223 Remington -> '.223Rose'.
weapon manufacturers,Glock,KOSCH,partial,"Glock 17/20 platform, slides, mags",In progress: kosch_ items live alongside many rows still displaying 'Glock'. Generic glock-pattern mags rebranded 'PF940' (Polymer80 reference). CmmG mag adapters reference 'Colt' -> 'Hart SMG' mags.
weapon manufacturers,KRISS USA,KALIS,partial,Vector platform,Vector -> KALIS Scalar. One '9x19 KRISS MagEx2' display name remains.
weapon manufacturers,DSA (DSArms),RSA,done,FAL/SA-58 platform,Product SA-58 -> SG-58 (Jul 2026). Also absorbed FN FAL items.
weapon manufacturers,Norinco,Sanxian,done,QBZ-95 platform,
weapon manufacturers,Zenitco,Veles,done,"AK aftermarket (B-series rails, Klesch, Perst)",companies.csv proposed 'Veles' for velesCo; in practice Veles replaced Zenitco. Zenit-BelOMO -> Veles ChelOMO.
weapon manufacturers,Enfield (RSAF),Sheffield,done,L1A1 SLR,L1A1 SLR -> Sheffield L4.
weapon manufacturers,Noveske Rifleworks,Nowa (display) / Novacek (internal),done,N4 rifle parts,"Display 'Nowa'; internal ids renamed nowa_ -> novacek_ (renames.csv), display unchanged."
weapon manufacturers,PTR Industries,CTR,done,G3-pattern barrels/parts,HK G3 clone parts -> CTR 91.
weapon manufacturers,Shenzhen Defender,Qingyuan Defense,done,QBZ-95 aftermarket,companies.csv proposed 'Schneider Defense'; applied name is Qingyuan Defense.
weapon manufacturers,Airtronic USA,LaunchTron USA,done,RPG-7 (PSRL),
weapon manufacturers,NPO Bazalt,SNO Vulkan,done,RPG-7 parts,
